ID,X,Y
reactions_203,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:22])[CH:20]=[CH2:21]', 'catalyst': 'O', 'product': '[CH2:19]([NH:22][C:7]1[N:6]=[C:5]([NH:4][CH2:1][CH:2]=[CH2:3])[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=1)[CH:20]=[CH2:21]'}",80.6%
reactions_204,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:22])[CH2:20][CH3:21]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:22][CH2:19][CH2:20][CH3:21])[N:6]=1)[CH:2]=[CH2:3]'}",77.7%
reactions_205,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:24])[C:20]([CH3:23])([CH3:22])[CH3:21].O', 'catalyst': 'C(#N)C', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:24][CH2:19][C:20]([CH3:23])([CH3:22])[CH3:21])[N:6]=1)[CH:2]=[CH2:3]'}",72.2%
reactions_206,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH:19]1([NH2:25])[CH2:24][CH2:23][CH2:22][CH2:21][CH2:20]1', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:25][CH:19]2[CH2:24][CH2:23][CH2:22][CH2:21][CH2:20]2)[N:6]=1)[CH:2]=[CH2:3]'}",76.6%
reactions_207,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH3:19][O:20][CH2:21][CH2:22][NH2:23]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:23][CH2:22][CH2:21][O:20][CH3:19])[N:6]=1)[CH:2]=[CH2:3]'}",74.7%
reactions_208,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH:22][CH2:23][CH:24]=[CH2:25])[CH:20]=[CH2:21]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([N:22]([CH2:23][CH:24]=[CH2:25])[CH2:19][CH:20]=[CH2:21])[N:6]=1)[CH:2]=[CH2:3]'}",88.5%
reactions_209,"{'reactant': 'O.O.[Sn](Cl)Cl.Cl.[CH2:7]([NH:10][C:11]1[N:20]=[C:19]([NH:21][CH2:22][CH:23]=[CH2:24])[C:18]2[C:13](=[CH:14][CH:15]=[C:16]([N+:25]([O-])=O)[CH:17]=2)[N:12]=1)[CH:8]=[CH2:9].[OH-].[Na+]', 'catalyst': '', 'product': '[CH2:7]([NH:10][C:11]1[N:20]=[C:19]([NH:21][CH2:22][CH:23]=[CH2:24])[C:18]2[C:13](=[CH:14][CH:15]=[C:16]([NH2:25])[CH:17]=2)[N:12]=1)[CH:8]=[CH2:9]'}",92.5%
reactions_210,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([Cl:18])[C:13]=2[N+]([O-])=O)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:20]([NH:23][CH2:24][CH:25]=[CH2:26])[CH:21]=[CH2:22]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([Cl:18])[CH:13]=2)[N:8]=[C:7]([N:23]([CH2:24][CH:25]=[CH2:26])[CH2:20][CH:21]=[CH2:22])[N:6]=1)[CH:2]=[CH2:3]'}",85.1%
reactions_211,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH3:19][NH2:20]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:20][CH3:19])[N:6]=1)[CH:2]=[CH2:3]'}",84.2%
reactions_212,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:21])[CH3:20]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:21][CH2:19][CH3:20])[N:6]=1)[CH:2]=[CH2:3]'}",90.6%
reactions_213,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH:19]([NH2:22])([CH3:21])[CH3:20]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:22][CH:19]([CH3:21])[CH3:20])[N:6]=1)[CH:2]=[CH2:3]'}",99.4%
reactions_214,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[C:19]([NH2:23])([CH3:22])([CH3:21])[CH3:20]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:23][C:19]([CH3:22])([CH3:21])[CH3:20])[N:6]=1)[CH:2]=[CH2:3]'}",93.7%
reactions_215,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:22])[CH2:20][NH2:21]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:21][CH2:20][CH2:19][NH2:22])[N:6]=1)[CH:2]=[CH2:3]'}",79.9%
reactions_216,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)(Cl)=O.[CH2:21]([NH2:23])[CH3:22].[CH2:24]([NH2:27])[CH:25]=[CH2:26]', 'catalyst': 'O', 'product': '[CH2:24]([NH:27][C:9]1[N:8]=[C:7]([NH:23][CH2:21][CH3:22])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1)[CH:25]=[CH2:26]'}",44.1%
reactions_217,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].CN1CCN(C)C1=O.P(Cl)(Cl)([Cl:26])=O.[CH2:29]([NH2:33])[CH2:30][CH2:31][CH3:32]', 'catalyst': 'O', 'product': '[CH2:29]([NH:33][C:7]1[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=[C:9]([Cl:26])[N:8]=1)[CH2:30][CH2:31][CH3:32]'}",63.6%
reactions_218,"{'reactant': '[CH2:1]([NH:5][C:6]1[C:15]2[C:10](=[CH:11][CH:12]=[C:13]([N+:16]([O-:18])=[O:17])[CH:14]=2)[N:9]=[C:8](Cl)[N:7]=1)[CH2:2][CH2:3][CH3:4].[CH2:20]([NH2:23])[CH:21]=[CH2:22]', 'catalyst': 'O', 'product': '[CH2:20]([NH:23][C:8]1[N:7]=[C:6]([NH:5][CH2:1][CH2:2][CH2:3][CH3:4])[C:15]2[C:10](=[CH:11][CH:12]=[C:13]([N+:16]([O-:18])=[O:17])[CH:14]=2)[N:9]=1)[CH:21]=[CH2:22]'}",82.1%
reactions_219,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].CN1[CH2:21][CH2:20][N:19](C)C1=O.P(Cl)(Cl)([Cl:26])=O.[CH2:29](N)[CH2:30][CH3:31]', 'catalyst': 'O', 'product': '[Cl:26][C:9]1[N:8]=[C:7]([NH:19][CH2:20][CH2:21][CH2:29][CH2:30][CH3:31])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",70.1%
reactions_220,"{'reactant': '[Cl:1][C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:18]([O-:20])=[O:19])[CH:8]=2)[N:3]=1.[CH2:21]([NH2:24])[CH:22]=[CH2:23]', 'catalyst': 'O', 'product': '[ClH:1].[CH2:21]([NH:24][C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:18]([O-:20])=[O:19])[CH:8]=2)[N:3]=1)[CH:22]=[CH2:23]'}",83.6%
reactions_221,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].CN1CCN(C)C1=O.P(Cl)(Cl)([Cl:26])=O.[CH2:29]([NH2:36])[CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH3:35]', 'catalyst': 'O', 'product': '[Cl:26][C:9]1[N:8]=[C:7]([NH:36][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH3:35])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",52.8%
reactions_222,"{'reactant': '[Cl:1][C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:20]([O-:22])=[O:21])[CH:8]=2)[N:3]=1.[CH2:23]([NH2:26])[CH:24]=[CH2:25]', 'catalyst': 'O', 'product': '[ClH:1].[CH2:23]([NH:26][C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:20]([O-:22])=[O:21])[CH:8]=2)[N:3]=1)[CH:24]=[CH2:25]'}",88.6%
reactions_223,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].CN1CCN(C)C1=O.P(Cl)(Cl)([Cl:26])=O.C(N(CC)CC)C.[CH:36]1([NH2:41])[CH2:40][CH2:39][CH2:38][CH2:37]1', 'catalyst': 'O', 'product': '[Cl:26][C:9]1[N:8]=[C:7]([NH:41][CH:36]2[CH2:40][CH2:39][CH2:38][CH2:37]2)[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",35.9%
reactions_224,"{'reactant': '[Cl:1][C:2]1[N:11]=[C:10]([NH:12][CH:13]2[CH2:17][CH2:16][CH2:15][CH2:14]2)[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:18]([O-:20])=[O:19])[CH:8]=2)[N:3]=1.[CH2:21]([NH2:24])[CH:22]=[CH2:23]', 'catalyst': 'O', 'product': '[ClH:1].[CH2:21]([NH:24][C:2]1[N:11]=[C:10]([NH:12][CH:13]2[CH2:17][CH2:16][CH2:15][CH2:14]2)[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:18]([O-:20])=[O:19])[CH:8]=2)[N:3]=1)[CH:22]=[CH2:23]'}",93.6%
reactions_225,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)([Cl:18])=O.[CH:21]([N:24](C(C)C)C=O)([CH3:23])[CH3:22].C(N)(C)C', 'catalyst': 'O', 'product': '[Cl:18][C:9]1[N:8]=[C:7]([NH:24][CH:21]([CH3:23])[CH3:22])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",67.5%
reactions_226,"{'reactant': '[Cl:1][C:2]1[N:11]=[C:10]([NH:12][CH:13]([CH3:15])[CH3:14])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:16]([O-:18])=[O:17])[CH:8]=2)[N:3]=1.[CH2:19]([NH2:22])[CH:20]=[CH2:21]', 'catalyst': 'O', 'product': '[ClH:1].[CH2:19]([NH:22][C:2]1[N:11]=[C:10]([NH:12][CH:13]([CH3:15])[CH3:14])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:16]([O-:18])=[O:17])[CH:8]=2)[N:3]=1)[CH:20]=[CH2:21]'}",95.7%
reactions_227,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:22])[C:20]#[CH:21]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:22][CH2:19][C:20]#[CH:21])[N:6]=1)[CH:2]=[CH2:3]'}",88.6%
reactions_228,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].Cl.[CH2:20]([NH2:24])/[CH:21]=[CH:22]/[CH3:23].C(N(CC)CC)C.O', 'catalyst': 'C(#N)C', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:24][CH2:20]/[CH:21]=[CH:22]/[CH3:23])[N:6]=1)[CH:2]=[CH2:3]'}",80.9%
reactions_229,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([NH2:26])[CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH3:25]', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:26][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[N:6]=1)[CH:2]=[CH2:3]'}",87.8%
reactions_230,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].[NH2:19][N:20]1[CH2:25][CH2:24][CH2:23][CH2:22][CH2:21]1', 'catalyst': 'O', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:19][N:20]2[CH2:25][CH2:24][CH2:23][CH2:22][CH2:21]2)[N:6]=1)[CH:2]=[CH2:3]'}",40.3%
reactions_231,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7](Cl)[N:6]=1)[CH:2]=[CH2:3].Cl.[CH2:20]([O:23][CH2:24][CH2:25][NH2:26])[CH2:21][CH3:22].C(N(CC)CC)C.O', 'catalyst': 'C(#N)C', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:26][CH2:25][CH2:24][O:23][CH2:20][CH2:21][CH3:22])[N:6]=1)[CH:2]=[CH2:3]'}",72.3%
reactions_232,"{'reactant': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH2:15])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3].[H-].[Na+].[C:21]([N:25]=[C:26]=[O:27])([CH3:24])([CH3:23])[CH3:22]', 'catalyst': 'C1COCC1', 'product': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH:15][C:26](=[O:27])[NH:25][C:21]([CH3:24])([CH3:23])[CH3:22])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3]'}",34.2%
reactions_233,"{'reactant': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH2:15])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3].[CH3:19][C:20]([CH3:23])([O-])[CH3:21].[K+].[C:25]([N:29]=[C:30]=[O:31])([CH3:28])([CH3:27])[CH3:26].C[N:33]([CH:35]=[O:36])C', 'catalyst': '', 'product': '[CH2:1]([N:4]([C:5]1[N:14]=[C:13]([NH:15][C:30](=[O:31])[NH:29][C:25]([CH3:28])([CH3:27])[CH3:26])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[C:35](=[O:36])[NH:33][C:20]([CH3:23])([CH3:21])[CH3:19])[CH:2]=[CH2:3]'}",36.0%
reactions_234,"{'reactant': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH2:15])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3].[C:19](OC(=O)C)(=[O:21])[CH3:20].C([O-])(=O)C.[Na+].[OH-].[Na+]', 'catalyst': 'C1COCC1', 'product': '[C:19]([NH:15][C:13]1[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=[C:5]([NH:4][CH2:1][CH:2]=[CH2:3])[N:14]=1)(=[O:21])[CH3:20]'}",42.7%
reactions_235,"{'reactant': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH2:15])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3].[H-].[Na+].[CH3:21][CH:22]([CH3:28])[CH2:23][O:24][C:25](Cl)=[O:26].O', 'catalyst': 'CN(C=O)C', 'product': '[CH2:1]([NH:4][C:5]1[N:14]=[C:13]([NH:15][C:25]([O:24][CH2:23][CH:22]([CH3:28])[CH3:21])=[O:26])[C:12]2[C:7](=[CH:8][CH:9]=[C:10]([N+:16]([O-:18])=[O:17])[CH:11]=2)[N:6]=1)[CH:2]=[CH2:3]'}",19.1%
reactions_236,"{'reactant': '[NH3:1].[CH2:2]([NH:5][C:6]1[C:15]2[C:10](=[CH:11][CH:12]=[C:13]([N+:16]([O-:18])=[O:17])[CH:14]=2)[N:9]=[C:8](Cl)[N:7]=1)[CH:3]=[CH2:4].O', 'catalyst': 'C(O)C.C1COCC1', 'product': '[CH2:2]([NH:5][C:6]1[C:15]2[C:10](=[CH:11][CH:12]=[C:13]([N+:16]([O-:18])=[O:17])[CH:14]=2)[N:9]=[C:8]([NH2:1])[N:7]=1)[CH:3]=[CH2:4]'}",84.6%
reactions_237,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH2:18])[N:6]=1)[CH:2]=[CH2:3].[C:19](OC(=O)C)(=[O:21])[CH3:20].C(N(CC)CC)C.O', 'catalyst': 'C(#N)C', 'product': '[C:19]([NH:18][C:7]1[N:6]=[C:5]([NH:4][CH2:1][CH:2]=[CH2:3])[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=1)(=[O:21])[CH3:20]'}",80.7%
reactions_238,"{'reactant': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH2:18])[N:6]=1)[CH:2]=[CH2:3].[CH2:19]([N:22]=[C:23]=[O:24])[CH2:20][CH3:21].C(N(CC)CC)C.O', 'catalyst': 'C1COCC1', 'product': '[CH2:1]([NH:4][C:5]1[C:14]2[C:9](=[CH:10][CH:11]=[C:12]([N+:15]([O-:17])=[O:16])[CH:13]=2)[N:8]=[C:7]([NH:18][C:23](=[O:24])[NH:22][CH2:19][CH2:20][CH3:21])[N:6]=1)[CH:2]=[CH2:3]'}",80.5%
reactions_239,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)([Cl:18])=O.C(N(C(C)C)C=O)(C)C.[CH2:30]([NH2:42])[CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][CH3:41]', 'catalyst': 'O', 'product': '[Cl:18][C:9]1[N:8]=[C:7]([NH:42][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][CH3:41])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",67.0%
reactions_240,"{'reactant': 'Cl[C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH3:24])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:25]([O-:27])=[O:26])[CH:8]=2)[N:3]=1.[CH2:28]([NH2:31])[CH:29]=[CH2:30]', 'catalyst': 'O', 'product': '[CH2:28]([NH:31][C:2]1[N:11]=[C:10]([NH:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH3:24])[C:9]2[C:4](=[CH:5][CH:6]=[C:7]([N+:25]([O-:27])=[O:26])[CH:8]=2)[N:3]=1)[CH:29]=[CH2:30]'}",93.4%
reactions_241,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)([Cl:18])=O.C(N(C(C)C)C=O)(C)C.[CH3:30][CH:31]([NH2:34])[CH2:32][CH3:33]', 'catalyst': 'O', 'product': '[Cl:18][C:9]1[N:8]=[C:7]([NH:34][CH:31]([CH3:30])[CH2:32][CH3:33])[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=1'}",68.9%
reactions_242,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)([Cl:18])=O.C(N(C(C)C)C=O)(C)C.[C:30]([NH2:34])([CH3:33])([CH3:32])[CH3:31]', 'catalyst': 'O', 'product': '[C:30]([NH:34][C:7]1[C:6]2[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=2)[N:10]=[C:9]([Cl:18])[N:8]=1)([CH3:33])([CH3:32])[CH3:31]'}",64.2%
reactions_243,"{'reactant': '[N+:1]([C:4]1[CH:5]=[C:6]2[C:11](=[CH:12][CH:13]=1)[NH:10][C:9](=O)[NH:8][C:7]2=O)([O-:3])=[O:2].P(Cl)(Cl)([Cl:18])=O.C(N(C(C)C)C=O)(C)C.[C:30]12([NH2:40])[CH2:39][CH:34]3[CH2:35][CH:36]([CH2:38][CH:32]([CH2:33]3)[CH2:31]1)[CH2:37]2.C(N(CC)CC)C', 'catalyst': 'O', 'product': '[C:30]12([NH:40][C:7]3[C:6]4[C:11](=[CH:12][CH:13]=[C:4]([N+:1]([O-:3])=[O:2])[CH:5]=4)[N:10]=[C:9]([Cl:18])[N:8]=3)[CH2:37][CH:36]3[CH2:35][CH:34]([CH2:33][CH:32]([CH2:38]3)[CH2:31]1)[CH2:39]2'}",20.7%
